====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       5450.0 | 0   0   1   0   1   1   0   0   0   1   1   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5500.0 | 1   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5550.0 | 0   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5600.0 | 1   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5601.2 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5650.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5700.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5750.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5800.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5850.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5900.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       5950.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6000.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6050.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6100.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6150.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6200.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6250.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6300.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6350.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6400.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6450.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6500.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6550.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6600.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6650.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6700.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6750.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6800.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6850.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6900.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       6950.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7000.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7050.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7100.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7150.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7200.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7250.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7300.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7350.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7400.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7450.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7500.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7550.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7600.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7650.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7700.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7750.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7800.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7850.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7900.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       7950.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       8000.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   0   0   1   x   1   x   x   x   x   1   1
       8000.1 | 1   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   0   0   1   x   1   x   x   x   x   1   x
       8050.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   0   0   1   x   1   x   x   x   x   1   x
       8100.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   0   0   1   x   1   x   x   x   x   1   x
       8101.3 | 1   0   1   0   1   1   0   0   0   1   0   1   1   x   x   0   0   0   1   x   1   x   x   x   x   1   x
       8102.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   0   0   1   x   1   x   x   x   x   1   x
       8103.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   1   0   0   1   x   1   x   x   x   x   1   x
       8150.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   0   0   1   0   0   1   x   1   x   x   x   x   1   x
       8200.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   1   1   0   1   x   1   x   x   x   x   1   x
       8250.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   0   0   1   1   0   1   x   1   x   x   x   x   1   x
       8300.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   1   1   0   1   x   1   x   x   x   x   1   x
       8301.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   0   1   0   1   x   1   x   x   x   x   1   x
       8303.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   0   1   1   1   0   1   1   0   0   0   1   0
       8350.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   0   0   0   1   1   1   0   1   1   0   0   0   1   0
       8400.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   0   0   1   1   1   0   1   1   0   0   0   1   0
       8401.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   x   0   1   1   1   0   1   1   0   0   0   1   0
       8402.1 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   1   0
       8402.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   0   1   0   1   1   0   0   0   1   0
       8450.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   0   1   0   1   1   0   0   0   1   0
       8500.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   1   1   0   1   0   1   1   0   0   0   1   0
       8501.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   0   1   0   1   0   1   1   0   0   0   1   0
       8503.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   0   1   1   1   0   1   1   0   0   0   1   0
       8550.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   0   1   0   1   1   1   0   1   1   0   0   0   1   0
       8600.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   1   0   1   1   1   0   1   1   0   0   0   1   0
       8601.3 | 1   0   1   0   1   1   0   0   0   1   0   0   1   0   x   0   1   1   1   0   1   1   0   0   0   1   0
       8601.5 | 1   0   1   0   1   1   0   0   0   1   0   0   1   x   x   0   1   1   1   0   1   1   0   0   0   1   0
       8602.1 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   1   1   1   1   0   1   1   0   0   0   1   0
       8602.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   1   1   0   1   0   1   1   0   0   0   1   0
       8650.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   1   0   1   1   0   1   0   1   1   0   0   0   1   0
       8700.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   1   1   0   1   0   1   1   0   0   0   1   0
       8701.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   0   1   0   1   0   1   1   0   0   0   1   0
       8703.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   0   1   1   1   0   1   1   0   0   0   1   0
       8750.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   1   0   0   1   1   1   0   1   1   0   0   0   1   0
       8800.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   0   0   1   1   1   0   1   1   0   0   0   1   0
       8801.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   x   0   1   1   1   0   1   1   0   0   0   1   0
       8802.1 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   1   1   1   1   1   0   1   1   0   0   0   1   0
       8802.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   1   1   1   0   1   0   1   1   0   0   0   1   0
       8850.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   1   1   1   1   0   1   0   1   1   0   0   0   1   0
       8900.0 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   1   1   1   0   1   0   1   1   0   0   0   1   0
       8901.4 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   1   0   1   0   1   0   1   1   0   0   0   1   0
       8903.8 | 1   0   1   0   1   1   0   0   0   1   0   0   1   1   1   0   1   1   1   0   1   1   0   0   0   1   0
       8950.0 | 0   0   1   0   1   1   0   0   0   1   0   0   1   1   1   0   0   1   1   0   1   1   0   0   0   1   0
       9000.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   1   1   0   1   1   0   0   0   1   0
       9000.1 | 1   0   1   0   1   1   0   0   0   1   1   0   0   1   1   0   0   1   1   0   1   1   0   0   0   1   1
       9001.1 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   1   0   0   1   1   0   1   1   0   0   0   1   1
       9001.3 | 1   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   1   1   0   1   1   0   0   0   1   1
       9002.6 | 1   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9050.0 | 0   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9100.0 | 1   0   1   0   1   1   0   0   0   1   1   1   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9101.2 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9150.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9200.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9250.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9300.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9350.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9400.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9450.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9500.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9550.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9600.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9650.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9700.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9750.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9800.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9850.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9900.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
       9950.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10000.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10050.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10100.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10150.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10200.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10250.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10300.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10350.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10400.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10450.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10500.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10550.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10600.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10650.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10700.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10750.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10800.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10850.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10900.0 | 1   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      10950.0 | 0   0   1   0   1   1   0   0   0   1   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      11000.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   0   1   1   0   0   0   1   1
      11000.1 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11050.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11100.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11150.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11200.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11250.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11300.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11350.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11400.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11450.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11500.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11550.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11600.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11650.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11700.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11750.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11800.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11850.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11900.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      11950.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12000.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12050.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12100.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12150.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12200.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12250.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12300.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12350.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12400.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12450.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12500.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12550.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12600.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12650.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12700.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12750.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12800.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12850.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12900.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      12950.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13000.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13050.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13100.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13150.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13200.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13250.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13300.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13350.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13400.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13450.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13500.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13550.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13600.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13650.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13700.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13750.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13800.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13850.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13900.0 | 1   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      13950.0 | 0   0   1   1   1   1   0   0   0   0   1   0   0   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14000.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14050.0 | 0   0   1   1   1   1   0   0   0   0   1   0   1   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14100.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14101.3 | 1   0   1   1   1   1   0   0   0   0   1   1   1   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14102.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   x   x   0   0   0   1   x   1   1   0   0   0   x   1
      14103.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14150.0 | 0   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14200.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14250.0 | 0   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14300.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14350.0 | 0   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14400.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14450.0 | 0   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
      14500.0 | 1   0   1   1   1   1   0   0   0   0   1   0   1   0   0   1   0   0   1   x   1   1   0   0   0   x   1
