====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              |                         r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
              |                         1   1   1   1   1   1   1   1   2   2   2   2   2   2   2   2 
              |                         _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |                         7   7   7   7   7   7   7   7   7   7   7   7   7   7   7   7 
              |                         _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |                         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
              |                         _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |                         7   6   5   4   3   2   1   0   7   6   5   4   3   2   1   0 
====================================================================================================================================
          0.0 | 1   1   x   0   0   0   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x
         80.0 | 0   1   x   0   0   0   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x
        160.0 | 1   1   x   0   0   0   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x   x
        220.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        240.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        320.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        400.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        480.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        560.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        640.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        720.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        800.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        860.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        880.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
        960.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1040.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1120.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1120.9 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1200.0 | 0   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1280.0 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1360.0 | 0   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1440.0 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1500.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1520.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1600.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1680.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1760.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1840.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       1920.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       2000.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       2080.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       2140.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2160.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2240.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2240.8 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2320.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2400.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2480.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2560.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2640.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2720.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2780.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2800.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2880.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       2960.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3040.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3120.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3200.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3280.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3360.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3420.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3440.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3520.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3600.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3680.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3760.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3840.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       3920.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4000.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4060.0 | 1   1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4060.6 | 1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4080.0 | 0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4160.0 | 1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4240.0 | 0   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       4280.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4320.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4400.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4480.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4560.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4640.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4720.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4800.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4880.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4920.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       4960.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5040.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5120.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5120.9 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5200.0 | 0   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5280.0 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5360.0 | 0   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5440.0 | 1   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5520.0 | 0   0   1   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5560.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5600.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5680.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5760.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5840.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       5920.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       6000.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       6080.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       6160.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   1   0
       6200.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6240.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6240.8 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6320.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6400.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6480.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6560.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6640.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6720.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6800.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6840.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6880.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       6959.9 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0
====================================================================================================================================
  network : Sr_if                                                                                                     nodes : 6490  
====================================================================================================================================
