================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | d   a   a   a   a   w   w   w   w   w   r   r   c   r   d   d 
 in 1e-09 sec | o   d   d   d   d   e   e   e   e   e   e   e   l   s   i   o 
              | _   d   d   d   d   1   2   3   4   _   _   _   k   t       _ 
              | 2   r   r   r   r                   c   1   2               1 
              |     1   1   2   2                   o                         
              |     _   _   _   _                   m                         
              |     1   2   1   2                                             
================================================================================
          0.0 | x   x   x   x   x   x   x   x   x   x   x   x   1   1   x   x
          0.0 | x   x   x   x   x   x   x   x   x   x   x   x   1   1   x   x
         50.0 | x   x   x   x   x   x   x   x   x   x   x   x   0   1   x   x
       2280.0 | 1   1   0   1   0   1   1   1   1   0   1   1   0   0   0   1
       2300.0 | 1   1   0   1   0   1   1   1   1   0   1   1   1   0   0   1
       2350.0 | 1   1   0   1   0   1   1   1   1   0   1   1   0   0   0   1
       2380.0 | 1   1   0   1   0   1   0   1   1   0   1   1   0   0   0   1
       2400.0 | 1   1   0   1   0   1   0   1   1   0   1   1   1   0   0   1
       2402.0 | 0   1   0   1   0   1   0   1   1   0   1   1   1   0   0   0
       2450.0 | 0   1   0   1   0   1   0   1   1   0   1   1   0   0   0   0
       2480.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2500.0 | 0   1   0   1   0   1   1   1   1   0   1   1   1   0   0   0
       2550.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2580.0 | 0   1   0   1   0   1   1   0   1   0   1   1   0   0   1   0
       2600.0 | 0   1   0   1   0   1   1   0   1   0   1   1   1   0   1   0
       2650.0 | 0   1   0   1   0   1   1   0   1   0   1   1   0   0   1   0
       2680.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2700.0 | 0   1   0   1   0   1   1   1   1   0   1   1   1   0   0   0
       2750.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2780.0 | 0   1   0   1   0   1   1   0   1   0   1   1   0   0   0   0
       2800.0 | 0   1   0   1   0   1   1   0   1   0   1   1   1   0   0   0
       2850.0 | 0   1   0   1   0   1   1   0   1   0   1   1   0   0   0   0
       2880.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2900.0 | 0   1   0   1   0   1   1   1   1   0   1   1   1   0   0   0
       2950.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       2980.0 | 0   1   0   1   0   1   1   1   0   0   1   1   0   0   1   0
       3000.0 | 0   1   0   1   0   1   1   1   0   0   1   1   1   0   1   0
       3050.0 | 0   1   0   1   0   1   1   1   0   0   1   1   0   0   1   0
       3080.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       3100.0 | 0   1   0   1   0   1   1   1   1   0   1   1   1   0   0   0
       3150.0 | 0   1   0   1   0   1   1   1   1   0   1   1   0   0   0   0
       3180.0 | 0   1   0   1   0   1   1   1   0   0   1   1   0   0   0   0
       3200.0 | 0   1   0   1   0   1   1   1   0   0   1   1   1   0   0   0
       3250.0 | 0   1   0   1   0   1   1   1   0   0   1   1   0   0   0   0
       3280.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3300.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       3350.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3380.0 | 0   0   1   0   1   0   1   1   1   0   1   1   0   0   1   0
       3400.0 | 0   0   1   0   1   0   1   1   1   0   1   1   1   0   1   0
       3450.0 | 0   0   1   0   1   0   1   1   1   0   1   1   0   0   1   0
       3480.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3500.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       3550.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3580.0 | 0   0   1   0   1   0   1   1   1   0   1   1   0   0   0   0
       3600.0 | 0   0   1   0   1   0   1   1   1   0   1   1   1   0   0   0
       3650.0 | 0   0   1   0   1   0   1   1   1   0   1   1   0   0   0   0
       3680.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3700.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       3750.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3780.0 | 0   0   1   0   1   1   0   1   1   0   1   1   0   0   1   0
       3800.0 | 0   0   1   0   1   1   0   1   1   0   1   1   1   0   1   0
       3850.0 | 0   0   1   0   1   1   0   1   1   0   1   1   0   0   1   0
       3880.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3900.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       3950.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       3980.0 | 0   0   1   0   1   1   0   1   1   0   1   1   0   0   0   0
       4000.0 | 0   0   1   0   1   1   0   1   1   0   1   1   1   0   0   0
       4050.0 | 0   0   1   0   1   1   0   1   1   0   1   1   0   0   0   0
       4080.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4100.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       4150.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4180.0 | 0   0   1   0   1   1   1   0   1   0   1   1   0   0   1   0
       4200.0 | 0   0   1   0   1   1   1   0   1   0   1   1   1   0   1   0
       4202.0 | 1   0   1   0   1   1   1   0   1   0   1   1   1   0   1   1
       4250.0 | 1   0   1   0   1   1   1   0   1   0   1   1   0   0   1   1
       4280.0 | 1   0   1   0   1   1   1   1   1   0   1   1   0   0   0   1
       4300.0 | 1   0   1   0   1   1   1   1   1   0   1   1   1   0   0   1
       4350.0 | 1   0   1   0   1   1   1   1   1   0   1   1   0   0   0   1
       4380.0 | 1   0   1   0   1   1   1   0   1   0   1   1   0   0   0   1
       4400.0 | 1   0   1   0   1   1   1   0   1   0   1   1   1   0   0   1
       4402.0 | 0   0   1   0   1   1   1   0   1   0   1   1   1   0   0   0
       4450.0 | 0   0   1   0   1   1   1   0   1   0   1   1   0   0   0   0
       4480.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4500.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       4550.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4580.0 | 0   0   1   0   1   1   1   1   0   0   1   1   0   0   1   0
       4600.0 | 0   0   1   0   1   1   1   1   0   0   1   1   1   0   1   0
       4650.0 | 0   0   1   0   1   1   1   1   0   0   1   1   0   0   1   0
       4680.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4700.0 | 0   0   1   0   1   1   1   1   1   0   1   1   1   0   0   0
       4750.0 | 0   0   1   0   1   1   1   1   1   0   1   1   0   0   0   0
       4780.0 | 0   0   1   0   1   1   1   1   0   0   1   1   0   0   0   0
       4800.0 | 0   0   1   0   1   1   1   1   0   0   1   1   1   0   0   0
       4850.0 | 0   0   1   0   1   1   1   1   0   0   1   1   0   0   0   0
       4880.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       4900.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       4950.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       4980.0 | 0   1   1   1   1   0   1   1   1   0   1   1   0   0   1   0
       5000.0 | 0   1   1   1   1   0   1   1   1   0   1   1   1   0   1   0
       5050.0 | 0   1   1   1   1   0   1   1   1   0   1   1   0   0   1   0
       5080.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5100.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       5150.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5180.0 | 0   1   1   1   1   0   1   1   1   0   1   1   0   0   0   0
       5200.0 | 0   1   1   1   1   0   1   1   1   0   1   1   1   0   0   0
       5250.0 | 0   1   1   1   1   0   1   1   1   0   1   1   0   0   0   0
       5280.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5300.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       5350.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5380.0 | 0   1   1   1   1   1   0   1   1   0   1   1   0   0   1   0
       5400.0 | 0   1   1   1   1   1   0   1   1   0   1   1   1   0   1   0
       5450.0 | 0   1   1   1   1   1   0   1   1   0   1   1   0   0   1   0
       5480.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5500.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       5550.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5580.0 | 0   1   1   1   1   1   0   1   1   0   1   1   0   0   0   0
       5600.0 | 0   1   1   1   1   1   0   1   1   0   1   1   1   0   0   0
       5650.0 | 0   1   1   1   1   1   0   1   1   0   1   1   0   0   0   0
       5680.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5700.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       5750.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5780.0 | 0   1   1   1   1   1   1   0   1   0   1   1   0   0   1   0
       5800.0 | 0   1   1   1   1   1   1   0   1   0   1   1   1   0   1   0
       5850.0 | 0   1   1   1   1   1   1   0   1   0   1   1   0   0   1   0
       5880.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5900.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       5950.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       5980.0 | 0   1   1   1   1   1   1   0   1   0   1   1   0   0   0   0
       6000.0 | 0   1   1   1   1   1   1   0   1   0   1   1   1   0   0   0
       6050.0 | 0   1   1   1   1   1   1   0   1   0   1   1   0   0   0   0
       6080.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       6100.0 | 0   1   1   1   1   1   1   1   1   0   1   1   1   0   0   0
       6150.0 | 0   1   1   1   1   1   1   1   1   0   1   1   0   0   0   0
       6180.0 | 0   1   1   1   1   1   1   1   0   0   1   1   0   0   1   0
       6200.0 | 0   1   1   1   1   1   1   1   0   0   1   1   1   0   1   0
       6202.0 | 1   1   1   1   1   1   1   1   0   0   1   1   1   0   1   1
       6250.0 | 1   1   1   1   1   1   1   1   0   0   1   1   0   0   1   1
       6280.0 | 1   1   1   1   1   1   1   1   1   0   1   1   0   0   0   1
       6300.0 | 1   1   1   1   1   1   1   1   1   0   1   1   1   0   0   1
       6350.0 | 1   1   1   1   1   1   1   1   1   0   1   1   0   0   0   1
       6380.0 | 1   1   1   1   1   1   1   1   0   0   1   1   0   0   0   1
       6400.0 | 1   1   1   1   1   1   1   1   0   0   1   1   1   0   0   1
       6402.0 | 0   1   1   1   1   1   1   1   0   0   1   1   1   0   0   0
       6450.0 | 0   1   1   1   1   1   1   1   0   0   1   1   0   0   0   0
       6480.0 | 0   1   1   1   1   1   1   1   0   0   1   1   0   1   0   0
       6500.0 | 0   1   1   1   1   1   1   1   0   0   1   1   1   1   0   0
       6550.0 | 0   1   1   1   1   1   1   1   0   0   1   1   0   1   0   0
       6560.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
       6600.0 | 0   0   0   0   0   1   1   1   1   0   1   1   1   0   0   0
       6650.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
       6660.0 | 0   0   0   0   0   0   1   1   1   0   1   1   0   0   1   0
       6700.0 | 0   0   0   0   0   0   1   1   1   0   1   1   1   0   1   0
       6702.0 | 1   0   0   0   0   0   1   1   1   0   1   1   1   0   1   1
       6750.0 | 1   0   0   0   0   0   1   1   1   0   1   1   0   0   1   1
       6760.0 | 1   0   0   0   0   1   1   1   1   0   1   1   0   0   0   1
       6800.0 | 1   0   0   0   0   1   1   1   1   0   1   1   1   0   0   1
       6850.0 | 1   0   0   0   0   1   1   1   1   0   1   1   0   0   0   1
       6860.0 | 1   0   0   0   0   0   1   1   1   0   1   1   0   0   0   1
       6900.0 | 1   0   0   0   0   0   1   1   1   0   1   1   1   0   0   1
       6902.0 | 0   0   0   0   0   0   1   1   1   0   1   1   1   0   0   0
       6950.0 | 0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0
       6960.0 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
       6999.9 | 0   0   0   0   0   1   1   1   1   0   1   1   0   0   0   0
================================================================================
  network : Bit4                                                   nodes : 162  
================================================================================
