================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d 
        560.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        570.0 | 0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        580.0 | 1   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0
        590.0 | 0   0   1   0   0   1   0   0   0   1   0   0   0   0   1   0
        600.0 | 1   0   1   0   0   1   0   0   0   1   0   0   0   0   1   0
        602.9 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        610.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        620.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        630.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        640.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        650.0 | 0   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        660.0 | 1   0   1   1   1   1   0   0   0   1   0   0   0   0   1   0
        670.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        680.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        690.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        700.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        710.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        720.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        730.0 | 0   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        740.0 | 1   0   0   1   1   0   0   0   0   1   0   0   0   0   1   0
        750.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        751.6 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        760.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        770.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        780.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        790.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        800.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        810.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        820.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   1   0
        830.0 | 0   0   1   0   1   1   1   0   0   0   0   0   0   0   1   0
        840.0 | 1   0   1   0   1   1   1   0   0   0   0   0   0   0   1   0
        842.9 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        850.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        860.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        870.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        880.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        890.0 | 0   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        900.0 | 1   0   1   1   1   1   1   0   0   0   0   0   0   0   1   0
        910.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        920.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        930.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        940.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        950.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        960.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        970.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        980.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        990.0 | 0   1   0   1   1   0   1   0   0   0   0   0   0   0   1   0
        999.9 | 0   1   0   1   1   0   1   0   0   0   0   0   0   0   1   0
================================================================================
  network : Sr_tower                                              nodes : 1308  
================================================================================
