====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   m   m   r   e   s   l   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   a   a   e   m   t   u   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   s   s   a   p   a   t   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   k   k   d   t   r   _   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   _   y   y   t   s   r   e   e   _   _   _   _   _   _   _   _   _ 
              |         7   7   7   7   7   7   7   7   s   s               t   e   r       7   7   7   7   7   7   7   7   i 
              |         _   _   _   _   _   _   _   _   e   e               a   a   r       _   _   _   _   _   _   _   _   n 
              |         0   0   0   0   0   0   0   0   l   l               r   d   o       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   e   e               t   y   r       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   c   c                               7   6   5   4   3   2   1   0     
              |                                         t   t                                                                 
              |                                         _   _                                                                 
              |                                         1   1                                                                 
              |                                         _   _                                                                 
              |                                         0   0                                                                 
              |                                         _   _                                                                 
              |                                         1   0                                                                 
====================================================================================================================================
       1721.9 | 1   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0   1   0   0   0   0   0   0   1   1   1   1   0
       1730.0 | 0   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0   1   0   0   0   0   0   0   1   1   1   1   0
       1740.0 | 1   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0   1   0   0   0   0   0   0   1   1   1   1   0
       1750.0 | 0   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1760.0 | 1   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1760.9 | 1   0   0   0   0   0   1   1   1   1   1   1   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1761.0 | 1   0   0   0   0   0   1   1   1   1   0   1   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1761.1 | 1   0   0   0   0   0   1   1   1   1   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1762.3 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1770.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1780.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1790.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1800.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1810.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1820.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1830.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1840.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1850.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1860.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1870.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1880.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1890.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1900.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1910.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1920.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1930.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1940.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1950.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1960.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1970.0 | 0   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1980.0 | 1   0   0   0   0   0   1   1   1   1   0   0   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0
       1990.0 | 0   0   0   1   1   0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       1990.1 | 0   0   0   1   1   0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2000.0 | 1   0   0   1   1   0   0   1   1   0   0   0   1   1   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2001.4 | 1   0   0   1   1   0   0   1   1   0   0   0   0   1   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2010.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   1   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2020.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   1   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2020.8 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2030.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2040.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2050.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2060.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2070.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2080.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2090.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2100.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2110.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2120.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2130.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2140.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2150.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2160.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2170.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2180.0 | 1   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2190.0 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
       2199.9 | 0   0   0   1   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   x   x   0   1   1   1   1   0
====================================================================================================================================
  network : Check_mask                                                                                                 nodes : 255  
====================================================================================================================================
