================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   v   r   c   t   s   r 
 in 1e-09 sec | l   g   s   n   i   t   e 
              | k   a   t   t   m   a   a 
              |     _       _   e   r   d 
              |     c       r       t   y 
              |     l       s             
              |     k       t             
================================================================================
      43542.0 | 0   1   0   0   1   0   0
      43624.0 | 1   1   0   0   1   0   0
      43706.0 | 0   1   0   0   1   0   0
      43788.0 | 1   1   0   0   1   0   0
      43870.0 | 0   1   0   0   1   0   0
      43952.0 | 1   1   0   0   1   0   0
      44000.0 | 1   0   0   0   1   0   0
      44034.0 | 0   0   0   0   1   0   0
      44116.0 | 1   0   0   0   1   0   0
      44198.0 | 0   0   0   0   1   0   0
      44280.0 | 1   0   0   0   1   0   0
      44362.0 | 0   0   0   0   1   0   0
      44444.0 | 1   0   0   0   1   0   0
      44526.0 | 0   0   0   0   1   0   0
      44608.0 | 1   0   0   0   1   0   0
      44690.0 | 0   0   0   0   1   0   0
      44772.0 | 1   0   0   0   1   0   0
      44800.0 | 1   1   0   0   1   0   0
      44854.0 | 0   1   0   0   1   0   0
      44936.0 | 1   1   0   0   1   0   0
      45018.0 | 0   1   0   0   1   0   0
      45100.0 | 1   1   0   0   1   0   0
      45182.0 | 0   1   0   0   1   0   0
      45264.0 | 1   1   0   0   1   0   0
      45346.0 | 0   1   0   0   1   0   0
      45428.0 | 1   1   0   0   1   0   0
      45510.0 | 0   1   0   0   1   0   0
      45592.0 | 1   1   0   0   1   0   0
      45600.0 | 1   0   0   0   1   0   0
      45674.0 | 0   0   0   0   1   0   0
      45756.0 | 1   0   0   0   1   0   0
      45838.0 | 0   0   0   0   1   0   0
      45920.0 | 1   0   0   0   1   0   0
      46002.0 | 0   0   0   0   1   0   0
      46084.0 | 1   0   0   0   1   0   0
      46166.0 | 0   0   0   0   1   0   0
      46248.0 | 1   0   0   0   1   0   0
      46330.0 | 0   0   0   0   1   0   0
      46400.0 | 0   1   0   0   1   0   0
      46412.0 | 1   1   0   0   1   0   0
      46494.0 | 0   1   0   0   1   0   0
      46576.0 | 1   1   0   0   1   0   0
      46658.0 | 0   1   0   0   1   0   0
      46740.0 | 1   1   0   0   1   0   0
      46822.0 | 0   1   0   0   1   0   0
      46904.0 | 1   1   0   0   1   0   0
      46986.0 | 0   1   0   0   1   0   0
      47068.0 | 1   1   0   0   1   0   0
      47150.0 | 0   1   0   0   1   0   0
      47200.0 | 0   0   0   0   1   0   0
      47232.0 | 1   0   0   0   1   0   0
      47314.0 | 0   0   0   0   1   0   0
      47396.0 | 1   0   0   0   1   0   0
      47478.0 | 0   0   0   0   1   0   0
      47560.0 | 1   0   0   0   1   0   0
      47642.0 | 0   0   0   0   1   0   0
      47724.0 | 1   0   0   0   1   0   0
      47806.0 | 0   0   0   0   1   0   0
      47888.0 | 1   0   0   0   1   0   0
      47970.0 | 0   0   0   0   1   0   0
      48000.0 | 0   1   0   0   1   0   0
      48052.0 | 1   1   0   0   1   0   0
      48134.0 | 0   1   0   0   1   0   0
      48216.0 | 1   1   0   0   1   0   0
      48298.0 | 0   1   0   0   1   0   0
      48380.0 | 1   1   0   0   1   0   0
      48382.5 | 1   1   0   0   1   0   1
      48462.0 | 0   1   0   0   1   0   1
      48544.0 | 1   1   0   0   1   0   1
      48545.6 | 1   1   0   0   1   0   0
      48626.0 | 0   1   0   0   1   0   0
      48708.0 | 1   1   0   0   1   0   0
      48790.0 | 0   1   0   0   1   0   0
      48800.0 | 0   0   0   0   1   0   0
      48872.0 | 1   0   0   0   1   0   0
      48954.0 | 0   0   0   0   1   0   0
      49036.0 | 1   0   0   0   1   0   0
      49118.0 | 0   0   0   0   1   0   0
      49200.0 | 1   0   0   0   1   0   0
      49282.0 | 0   0   0   0   1   0   0
      49364.0 | 1   0   0   0   1   0   0
      49446.0 | 0   0   0   0   1   0   0
      49528.0 | 1   0   0   0   1   0   0
      49600.0 | 1   1   0   0   1   0   0
      49610.0 | 0   1   0   0   1   0   0
      49692.0 | 1   1   0   0   1   0   0
      49774.0 | 0   1   0   0   1   0   0
      49856.0 | 1   1   0   0   1   0   0
      49938.0 | 0   1   0   0   1   0   0
      50020.0 | 1   1   0   0   1   0   0
      50102.0 | 0   1   0   0   1   0   0
      50184.0 | 1   1   0   0   1   0   0
      50266.0 | 0   1   0   0   1   0   0
      50348.0 | 1   1   0   0   1   0   0
      50400.0 | 1   0   0   0   1   0   0
      50430.0 | 0   0   0   0   1   0   0
      50512.0 | 1   0   0   0   1   0   0
      50594.0 | 0   0   0   0   1   0   0
      50676.0 | 1   0   0   0   1   0   0
      50758.0 | 0   0   0   0   1   0   0
      50840.0 | 1   0   0   0   1   0   0
      50922.0 | 0   0   0   0   1   0   0
      51004.0 | 1   0   0   0   1   0   0
      51086.0 | 0   0   0   0   1   0   0
      51168.0 | 1   0   0   0   1   0   0
      51200.0 | 1   1   0   0   1   0   0
      51250.0 | 0   1   0   0   1   0   0
      51332.0 | 1   1   0   0   1   0   0
      51414.0 | 0   1   0   0   1   0   0
      51496.0 | 1   1   0   0   1   0   0
      51578.0 | 0   1   0   0   1   0   0
      51660.0 | 1   1   0   0   1   0   0
      51742.0 | 0   1   0   0   1   0   0
      51824.0 | 1   1   0   0   1   0   0
      51906.0 | 0   1   0   0   1   0   0
      51988.0 | 1   1   0   0   1   0   0
      52000.0 | 1   0   0   0   1   0   0
      52070.0 | 0   0   0   0   1   0   0
      52152.0 | 1   0   0   0   1   0   0
      52234.0 | 0   0   0   0   1   0   0
      52316.0 | 1   0   0   0   1   0   0
      52398.0 | 0   0   0   0   1   0   0
      52480.0 | 1   0   0   0   1   0   0
      52562.0 | 0   0   0   0   1   0   0
      52644.0 | 1   0   0   0   1   0   0
      52726.0 | 0   0   0   0   1   0   0
      52800.0 | 0   1   0   0   1   0   0
      52808.0 | 1   1   0   0   1   0   0
      52890.0 | 0   1   0   0   1   0   0
      52972.0 | 1   1   0   0   1   0   0
      53054.0 | 0   1   0   0   1   0   0
      53136.0 | 1   1   0   0   1   0   0
      53218.0 | 0   1   0   0   1   0   0
      53300.0 | 1   1   0   0   1   0   0
      53382.0 | 0   1   0   0   1   0   0
      53464.0 | 1   1   0   0   1   0   0
      53546.0 | 0   1   0   0   1   0   0
      53600.0 | 0   0   0   0   1   0   0
      53628.0 | 1   0   0   0   1   0   0
      53710.0 | 0   0   0   0   1   0   0
      53792.0 | 1   0   0   0   1   0   0
      53874.0 | 0   0   0   0   1   0   0
      53956.0 | 1   0   0   0   1   0   0
      54038.0 | 0   0   0   0   1   0   0
      54120.0 | 1   0   0   0   1   0   0
      54202.0 | 0   0   0   0   1   0   0
      54284.0 | 1   0   0   0   1   0   0
      54366.0 | 0   0   0   0   1   0   0
      54400.0 | 0   1   0   0   1   0   0
      54448.0 | 1   1   0   0   1   0   0
      54530.0 | 0   1   0   0   1   0   0
      54612.0 | 1   1   0   0   1   0   0
      54694.0 | 0   1   0   0   1   0   0
      54776.0 | 1   1   0   0   1   0   0
      54858.0 | 0   1   0   0   1   0   0
      54940.0 | 1   1   0   0   1   0   0
      55022.0 | 0   1   0   0   1   0   0
      55104.0 | 1   1   0   0   1   0   0
      55186.0 | 0   1   0   0   1   0   0
      55200.0 | 0   0   0   0   1   0   0
      55268.0 | 1   0   0   0   1   0   0
      55350.0 | 0   0   0   0   1   0   0
      55432.0 | 1   0   0   0   1   0   0
      55514.0 | 0   0   0   0   1   0   0
      55596.0 | 1   0   0   0   1   0   0
      55678.0 | 0   0   0   0   1   0   0
      55760.0 | 1   0   0   0   1   0   0
      55842.0 | 0   0   0   0   1   0   0
      55924.0 | 1   0   0   0   1   0   0
      56000.0 | 1   1   0   0   1   0   0
      56006.0 | 0   1   0   0   1   0   0
      56088.0 | 1   1   0   0   1   0   0
      56170.0 | 0   1   0   0   1   0   0
      56252.0 | 1   1   0   0   1   0   0
      56334.0 | 0   1   0   0   1   0   0
      56416.0 | 1   1   0   0   1   0   0
      56498.0 | 0   1   0   0   1   0   0
      56580.0 | 1   1   0   0   1   0   0
      56662.0 | 0   1   0   0   1   0   0
      56744.0 | 1   1   0   0   1   0   0
      56800.0 | 1   0   0   0   1   0   0
      56826.0 | 0   0   0   0   1   0   0
      56908.0 | 1   0   0   0   1   0   0
      56990.0 | 0   0   0   0   1   0   0
      57072.0 | 1   0   0   0   1   0   0
      57154.0 | 0   0   0   0   1   0   0
      57236.0 | 1   0   0   0   1   0   0
      57318.0 | 0   0   0   0   1   0   0
      57400.0 | 1   0   0   0   1   0   0
      57482.0 | 0   0   0   0   1   0   0
      57564.0 | 1   0   0   0   1   0   0
      57600.0 | 1   1   0   0   1   0   0
      57646.0 | 0   1   0   0   1   0   0
      57728.0 | 1   1   0   0   1   0   0
      57810.0 | 0   1   0   0   1   0   0
      57892.0 | 1   1   0   0   1   0   0
      57974.0 | 0   1   0   0   1   0   0
      58056.0 | 1   1   0   0   1   0   0
      58138.0 | 0   1   0   0   1   0   0
      58220.0 | 1   1   0   0   1   0   0
      58302.0 | 0   1   0   0   1   0   0
      58384.0 | 1   1   0   0   1   0   0
      58400.0 | 1   0   0   0   1   0   0
      58466.0 | 0   0   0   0   1   0   0
      58548.0 | 1   0   0   0   1   0   0
      58630.0 | 0   0   0   0   1   0   0
      58712.0 | 1   0   0   0   1   0   0
      58794.0 | 0   0   0   0   1   0   0
      58876.0 | 1   0   0   0   1   0   0
      58958.0 | 0   0   0   0   1   0   0
      59040.0 | 1   0   0   0   1   0   0
      59122.0 | 0   0   0   0   1   0   0
      59200.0 | 0   1   0   0   1   0   0
      59204.0 | 1   1   0   0   1   0   0
      59286.0 | 0   1   0   0   1   0   0
      59368.0 | 1   1   0   0   1   0   0
      59450.0 | 0   1   0   0   1   0   0
      59532.0 | 1   1   0   0   1   0   0
      59614.0 | 0   1   0   0   1   0   0
      59696.0 | 1   1   0   0   1   0   0
      59778.0 | 0   1   0   0   1   0   0
      59860.0 | 1   1   0   0   1   0   0
      59942.0 | 0   1   0   0   1   0   0
      60000.0 | 0   0   0   0   1   0   0
      60024.0 | 1   0   0   0   1   0   0
      60106.0 | 0   0   0   0   1   0   0
      60188.0 | 1   0   0   0   1   0   0
      60270.0 | 0   0   0   0   1   0   0
      60352.0 | 1   0   0   0   1   0   0
      60434.0 | 0   0   0   0   1   0   0
      60516.0 | 1   0   0   0   1   0   0
      60598.0 | 0   0   0   0   1   0   0
      60680.0 | 1   0   0   0   1   0   0
      60762.0 | 0   0   0   0   1   0   0
      60800.0 | 0   1   0   0   1   0   0
      60844.0 | 1   1   0   0   1   0   0
      60926.0 | 0   1   0   0   1   0   0
      61008.0 | 1   1   0   0   1   0   0
      61090.0 | 0   1   0   0   1   0   0
      61172.0 | 1   1   0   0   1   0   0
      61254.0 | 0   1   0   0   1   0   0
      61336.0 | 1   1   0   0   1   0   0
      61418.0 | 0   1   0   0   1   0   0
      61500.0 | 1   1   0   0   1   0   0
      61582.0 | 0   1   0   0   1   0   0
      61600.0 | 0   0   0   0   1   0   0
      61664.0 | 1   0   0   0   1   0   0
      61746.0 | 0   0   0   0   1   0   0
      61828.0 | 1   0   0   0   1   0   0
      61910.0 | 0   0   0   0   1   0   0
      61992.0 | 1   0   0   0   1   0   0
      62074.0 | 0   0   0   0   1   0   0
      62156.0 | 1   0   0   0   1   0   0
      62238.0 | 0   0   0   0   1   0   0
      62320.0 | 1   0   0   0   1   0   0
      62400.0 | 1   1   0   0   1   0   0
      62402.0 | 0   1   0   0   1   0   0
      62484.0 | 1   1   0   0   1   0   0
      62566.0 | 0   1   0   0   1   0   0
      62648.0 | 1   1   0   0   1   0   0
      62730.0 | 0   1   0   0   1   0   0
      62812.0 | 1   1   0   0   1   0   0
      62894.0 | 0   1   0   0   1   0   0
      62976.0 | 1   1   0   0   1   0   0
      63058.0 | 0   1   0   0   1   0   0
      63140.0 | 1   1   0   0   1   0   0
      63200.0 | 1   0   0   0   1   0   0
      63222.0 | 0   0   0   0   1   0   0
      63304.0 | 1   0   0   0   1   0   0
      63386.0 | 0   0   0   0   1   0   0
      63468.0 | 1   0   0   0   1   0   0
      63550.0 | 0   0   0   0   1   0   0
      63632.0 | 1   0   0   0   1   0   0
      63714.0 | 0   0   0   0   1   0   0
      63796.0 | 1   0   0   0   1   0   0
      63878.0 | 0   0   0   0   1   0   0
      63960.0 | 1   0   0   0   1   0   0
      64000.0 | 1   1   0   0   1   0   0
      64042.0 | 0   1   0   0   1   0   0
      64124.0 | 1   1   0   0   1   0   0
      64206.0 | 0   1   0   0   1   0   0
      64288.0 | 1   1   0   0   1   0   0
      64370.0 | 0   1   0   0   1   0   0
      64452.0 | 1   1   0   0   1   0   0
      64534.0 | 0   1   0   0   1   0   0
      64616.0 | 1   1   0   0   1   0   0
      64698.0 | 0   1   0   0   1   0   0
      64780.0 | 1   1   0   0   1   0   0
      64800.0 | 1   0   0   0   1   0   0
      64862.0 | 0   0   0   0   1   0   0
      64944.0 | 1   0   0   0   1   0   0
      65026.0 | 0   0   0   0   1   0   0
      65108.0 | 1   0   0   0   1   0   0
      65190.0 | 0   0   0   0   1   0   0
      65272.0 | 1   0   0   0   1   0   0
      65354.0 | 0   0   0   0   1   0   0
      65436.0 | 1   0   0   0   1   0   0
      65518.0 | 0   0   0   0   1   0   0
      65600.0 | 1   1   0   0   1   0   0
      65682.0 | 0   1   0   0   1   0   0
      65764.0 | 1   1   0   0   1   0   0
      65846.0 | 0   1   0   0   1   0   0
      65928.0 | 1   1   0   0   1   0   0
      66010.0 | 0   1   0   0   1   0   0
      66092.0 | 1   1   0   0   1   0   0
      66174.0 | 0   1   0   0   1   0   0
      66256.0 | 1   1   0   0   1   0   0
      66338.0 | 0   1   0   0   1   0   0
      66400.0 | 0   0   0   0   1   0   0
      66420.0 | 1   0   0   0   1   0   0
      66502.0 | 0   0   0   0   1   0   0
      66584.0 | 1   0   0   0   1   0   0
      66666.0 | 0   0   0   0   1   0   0
      66748.0 | 1   0   0   0   1   0   0
      66830.0 | 0   0   0   0   1   0   0
      66912.0 | 1   0   0   0   1   0   0
      66994.0 | 0   0   0   0   1   0   0
      67076.0 | 1   0   0   0   1   0   0
      67158.0 | 0   0   0   0   1   0   0
      67200.0 | 0   1   0   0   1   0   0
      67240.0 | 1   1   0   0   1   0   0
      67322.0 | 0   1   0   0   1   0   0
      67404.0 | 1   1   0   0   1   0   0
      67486.0 | 0   1   0   0   1   0   0
      67568.0 | 1   1   0   0   1   0   0
      67650.0 | 0   1   0   0   1   0   0
      67732.0 | 1   1   0   0   1   0   0
      67814.0 | 0   1   0   0   1   0   0
      67896.0 | 1   1   0   0   1   0   0
      67978.0 | 0   1   0   0   1   0   0
      68000.0 | 0   0   0   0   1   0   0
      68060.0 | 1   0   0   0   1   0   0
      68142.0 | 0   0   0   0   1   0   0
      68224.0 | 1   0   0   0   1   0   0
      68306.0 | 0   0   0   0   1   0   0
      68388.0 | 1   0   0   0   1   0   0
      68470.0 | 0   0   0   0   1   0   0
      68552.0 | 1   0   0   0   1   0   0
      68634.0 | 0   0   0   0   1   0   0
      68716.0 | 1   0   0   0   1   0   0
      68798.0 | 0   0   0   0   1   0   0
      68800.0 | 0   1   0   0   1   0   0
      68880.0 | 1   1   0   0   1   0   0
      68962.0 | 0   1   0   0   1   0   0
      69044.0 | 1   1   0   0   1   0   0
      69126.0 | 0   1   0   0   1   0   0
      69208.0 | 1   1   0   0   1   0   0
      69290.0 | 0   1   0   0   1   0   0
      69372.0 | 1   1   0   0   1   0   0
      69454.0 | 0   1   0   0   1   0   0
      69536.0 | 1   1   0   0   1   0   0
      69600.0 | 1   0   0   0   1   0   0
      69618.0 | 0   0   0   0   1   0   0
      69700.0 | 1   0   0   0   1   0   0
      69782.0 | 0   0   0   0   1   0   0
      69864.0 | 1   0   0   0   1   0   0
      69946.0 | 0   0   0   0   1   0   0
      70028.0 | 1   0   0   0   1   0   0
      70110.0 | 0   0   0   0   1   0   0
      70192.0 | 1   0   0   0   1   0   0
      70274.0 | 0   0   0   0   1   0   0
      70356.0 | 1   0   0   0   1   0   0
      70400.0 | 1   1   0   0   1   0   0
      70438.0 | 0   1   0   0   1   0   0
      70520.0 | 1   1   0   0   1   0   0
      70602.0 | 0   1   0   0   1   0   0
      70684.0 | 1   1   0   0   1   0   0
      70766.0 | 0   1   0   0   1   0   0
      70848.0 | 1   1   0   0   1   0   0
      70930.0 | 0   1   0   0   1   0   0
      71012.0 | 1   1   0   0   1   0   0
      71094.0 | 0   1   0   0   1   0   0
      71176.0 | 1   1   0   0   1   0   0
      71200.0 | 1   0   0   0   1   0   0
      71258.0 | 0   0   0   0   1   0   0
      71340.0 | 1   0   0   0   1   0   0
      71422.0 | 0   0   0   0   1   0   0
      71504.0 | 1   0   0   0   1   0   0
      71586.0 | 0   0   0   0   1   0   0
      71668.0 | 1   0   0   0   1   0   0
      71750.0 | 0   0   0   0   1   0   0
      71832.0 | 1   0   0   0   1   0   0
      71914.0 | 0   0   0   0   1   0   0
      71996.0 | 1   0   0   0   1   0   0
      72000.0 | 1   1   0   0   1   0   0
      72078.0 | 0   1   0   0   1   0   0
      72160.0 | 1   1   0   0   1   0   0
      72242.0 | 0   1   0   0   1   0   0
      72324.0 | 1   1   0   0   1   0   0
      72406.0 | 0   1   0   0   1   0   0
      72488.0 | 1   1   0   0   1   0   0
      72570.0 | 0   1   0   0   1   0   0
      72652.0 | 1   1   0   0   1   0   0
      72734.0 | 0   1   0   0   1   0   0
      72800.0 | 0   0   0   0   1   0   0
      72816.0 | 1   0   0   0   1   0   0
      72898.0 | 0   0   0   0   1   0   0
      72980.0 | 1   0   0   0   1   0   0
      73062.0 | 0   0   0   0   1   0   0
      73144.0 | 1   0   0   0   1   0   0
      73226.0 | 0   0   0   0   1   0   0
      73308.0 | 1   0   0   0   1   0   0
      73390.0 | 0   0   0   0   1   0   0
      73472.0 | 1   0   0   0   1   0   0
      73554.0 | 0   0   0   0   1   0   0
      73600.0 | 0   1   0   0   1   0   0
      73636.0 | 1   1   0   0   1   0   0
      73718.0 | 0   1   0   0   1   0   0
      73800.0 | 1   1   0   0   1   0   0
      73882.0 | 0   1   0   0   1   0   0
      73964.0 | 1   1   0   0   1   0   0
      74046.0 | 0   1   0   0   1   0   0
      74128.0 | 1   1   0   0   1   0   0
      74210.0 | 0   1   0   0   1   0   0
      74292.0 | 1   1   0   0   1   0   0
      74374.0 | 0   1   0   0   1   0   0
      74400.0 | 0   0   0   0   1   0   0
      74456.0 | 1   0   0   0   1   0   0
      74538.0 | 0   0   0   0   1   0   0
      74620.0 | 1   0   0   0   1   0   0
      74702.0 | 0   0   0   0   1   0   0
      74784.0 | 1   0   0   0   1   0   0
      74866.0 | 0   0   0   0   1   0   0
      74948.0 | 1   0   0   0   1   0   0
      75030.0 | 0   0   0   0   1   0   0
      75112.0 | 1   0   0   0   1   0   0
      75194.0 | 0   0   0   0   1   0   0
      75200.0 | 0   1   0   0   1   0   0
      75276.0 | 1   1   0   0   1   0   0
      75358.0 | 0   1   0   0   1   0   0
      75440.0 | 1   1   0   0   1   0   0
      75522.0 | 0   1   0   0   1   0   0
      75604.0 | 1   1   0   0   1   0   0
      75686.0 | 0   1   0   0   1   0   0
      75768.0 | 1   1   0   0   1   0   0
      75850.0 | 0   1   0   0   1   0   0
      75932.0 | 1   1   0   0   1   0   0
      76000.0 | 1   0   0   0   1   0   0
      76014.0 | 0   0   0   0   1   0   0
      76096.0 | 1   0   0   0   1   0   0
      76178.0 | 0   0   0   0   1   0   0
      76260.0 | 1   0   0   0   1   0   0
      76342.0 | 0   0   0   0   1   0   0
      76424.0 | 1   0   0   0   1   0   0
      76506.0 | 0   0   0   0   1   0   0
      76588.0 | 1   0   0   0   1   0   0
      76670.0 | 0   0   0   0   1   0   0
      76752.0 | 1   0   0   0   1   0   0
      76800.0 | 1   1   0   0   1   0   0
      76834.0 | 0   1   0   0   1   0   0
      76916.0 | 1   1   0   0   1   0   0
      76998.0 | 0   1   0   0   1   0   0
      77080.0 | 1   1   0   0   1   0   0
      77162.0 | 0   1   0   0   1   0   0
      77244.0 | 1   1   0   0   1   0   0
      77326.0 | 0   1   0   0   1   0   0
      77408.0 | 1   1   0   0   1   0   0
      77490.0 | 0   1   0   0   1   0   0
      77572.0 | 1   1   0   0   1   0   0
      77600.0 | 1   0   0   0   1   0   0
      77654.0 | 0   0   0   0   1   0   0
      77736.0 | 1   0   0   0   1   0   0
      77818.0 | 0   0   0   0   1   0   0
      77900.0 | 1   0   0   0   1   0   0
      77982.0 | 0   0   0   0   1   0   0
      78064.0 | 1   0   0   0   1   0   0
      78146.0 | 0   0   0   0   1   0   0
      78228.0 | 1   0   0   0   1   0   0
      78310.0 | 0   0   0   0   1   0   0
      78392.0 | 1   0   0   0   1   0   0
      78400.0 | 1   1   0   0   1   0   0
      78474.0 | 0   1   0   0   1   0   0
      78556.0 | 1   1   0   0   1   0   0
      78638.0 | 0   1   0   0   1   0   0
      78720.0 | 1   1   0   0   1   0   0
      78802.0 | 0   1   0   0   1   0   0
      78884.0 | 1   1   0   0   1   0   0
      78966.0 | 0   1   0   0   1   0   0
      79048.0 | 1   1   0   0   1   0   0
      79130.0 | 0   1   0   0   1   0   0
      79200.0 | 0   0   0   0   1   0   0
      79212.0 | 1   0   0   0   1   0   0
      79294.0 | 0   0   0   0   1   0   0
      79376.0 | 1   0   0   0   1   0   0
      79458.0 | 0   0   0   0   1   0   0
      79540.0 | 1   0   0   0   1   0   0
      79622.0 | 0   0   0   0   1   0   0
      79704.0 | 1   0   0   0   1   0   0
      79786.0 | 0   0   0   0   1   0   0
      79868.0 | 1   0   0   0   1   0   0
      79950.0 | 0   0   0   0   1   0   0
      80000.0 | 0   1   0   0   1   0   0
      80032.0 | 1   1   0   0   1   0   0
      80114.0 | 0   1   0   0   1   0   0
      80196.0 | 1   1   0   0   1   0   0
      80278.0 | 0   1   0   0   1   0   0
      80360.0 | 1   1   0   0   1   0   0
      80442.0 | 0   1   0   0   1   0   0
      80524.0 | 1   1   0   0   1   0   0
      80606.0 | 0   1   0   0   1   0   0
      80688.0 | 1   1   0   0   1   0   0
      80770.0 | 0   1   0   0   1   0   0
      80800.0 | 0   0   0   0   1   0   0
      80852.0 | 1   0   0   0   1   0   0
      80934.0 | 0   0   0   0   1   0   0
      81016.0 | 1   0   0   0   1   0   0
      81098.0 | 0   0   0   0   1   0   0
      81180.0 | 1   0   0   0   1   0   0
      81262.0 | 0   0   0   0   1   0   0
      81344.0 | 1   0   0   0   1   0   0
      81426.0 | 0   0   0   0   1   0   0
      81508.0 | 1   0   0   0   1   0   0
      81590.0 | 0   0   0   0   1   0   0
      81600.0 | 0   1   0   0   1   0   0
      81672.0 | 1   1   0   0   1   0   0
      81754.0 | 0   1   0   0   1   0   0
      81836.0 | 1   1   0   0   1   0   0
      81918.0 | 0   1   0   0   1   0   0
      82000.0 | 1   1   0   0   1   0   0
      82082.0 | 0   1   0   0   1   0   0
      82164.0 | 1   1   0   0   1   0   0
      82246.0 | 0   1   0   0   1   0   0
      82328.0 | 1   1   0   0   1   0   0
      82400.0 | 1   0   0   0   1   0   0
      82410.0 | 0   0   0   0   1   0   0
      82492.0 | 1   0   0   0   1   0   0
      82574.0 | 0   0   0   0   1   0   0
      82656.0 | 1   0   0   0   1   0   0
      82738.0 | 0   0   0   0   1   0   0
      82820.0 | 1   0   0   0   1   0   0
      82902.0 | 0   0   0   0   1   0   0
      82984.0 | 1   0   0   0   1   0   0
      83066.0 | 0   0   0   0   1   0   0
      83148.0 | 1   0   0   0   1   0   0
      83200.0 | 1   1   0   0   1   0   0
      83230.0 | 0   1   0   0   1   0   0
      83312.0 | 1   1   0   0   1   0   0
      83394.0 | 0   1   0   0   1   0   0
      83476.0 | 1   1   0   0   1   0   0
      83558.0 | 0   1   0   0   1   0   0
      83640.0 | 1   1   0   0   1   0   0
      83722.0 | 0   1   0   0   1   0   0
      83804.0 | 1   1   0   0   1   0   0
      83886.0 | 0   1   0   0   1   0   0
      83968.0 | 1   1   0   0   1   0   0
      84000.0 | 1   0   0   0   1   0   0
      84050.0 | 0   0   0   0   1   0   0
      84132.0 | 1   0   0   0   1   0   0
      84214.0 | 0   0   0   0   1   0   0
      84296.0 | 1   0   0   0   1   0   0
      84378.0 | 0   0   0   0   1   0   0
      84460.0 | 1   0   0   0   1   0   0
      84542.0 | 0   0   0   0   1   0   0
      84624.0 | 1   0   0   0   1   0   0
      84706.0 | 0   0   0   0   1   0   0
      84788.0 | 1   0   0   0   1   0   0
      84800.0 | 1   1   0   0   1   0   0
      84870.0 | 0   1   0   0   1   0   0
      84952.0 | 1   1   0   0   1   0   0
      85034.0 | 0   1   0   0   1   0   0
      85116.0 | 1   1   0   0   1   0   0
      85198.0 | 0   1   0   0   1   0   0
      85280.0 | 1   1   0   0   1   0   0
      85362.0 | 0   1   0   0   1   0   0
      85444.0 | 1   1   0   0   1   0   0
      85526.0 | 0   1   0   0   1   0   0
      85600.0 | 0   0   0   0   1   0   0
      85608.0 | 1   0   0   0   1   0   0
      85690.0 | 0   0   0   0   1   0   0
      85772.0 | 1   0   0   0   1   0   0
      85854.0 | 0   0   0   0   1   0   0
      85936.0 | 1   0   0   0   1   0   0
      86018.0 | 0   0   0   0   1   0   0
      86100.0 | 1   0   0   0   1   0   0
      86182.0 | 0   0   0   0   1   0   0
      86264.0 | 1   0   0   0   1   0   0
      86346.0 | 0   0   0   0   1   0   0
      86400.0 | 0   1   0   0   1   0   0
      86428.0 | 1   1   0   0   1   0   0
      86510.0 | 0   1   0   0   1   0   0
      86592.0 | 1   1   0   0   1   0   0
      86674.0 | 0   1   0   0   1   0   0
      86756.0 | 1   1   0   0   1   0   0
      86838.0 | 0   1   0   0   1   0   0
      86920.0 | 1   1   0   0   1   0   0
      87002.0 | 0   1   0   0   1   0   0
      87084.0 | 1   1   0   0   1   0   0
      87166.0 | 0   1   0   0   1   0   0
      87200.0 | 0   0   0   0   1   0   0
      87248.0 | 1   0   0   0   1   0   0
      87330.0 | 0   0   0   0   1   0   0
      87412.0 | 1   0   0   0   1   0   0
      87494.0 | 0   0   0   0   1   0   0
      87576.0 | 1   0   0   0   1   0   0
      87658.0 | 0   0   0   0   1   0   0
      87740.0 | 1   0   0   0   1   0   0
      87822.0 | 0   0   0   0   1   0   0
      87904.0 | 1   0   0   0   1   0   0
      87986.0 | 0   0   0   0   1   0   0
      88000.0 | 0   1   0   0   1   0   0
      88068.0 | 1   1   0   0   1   0   0
      88150.0 | 0   1   0   0   1   0   0
      88232.0 | 1   1   0   0   1   0   0
      88314.0 | 0   1   0   0   1   0   0
      88396.0 | 1   1   0   0   1   0   0
      88478.0 | 0   1   0   0   1   0   0
      88560.0 | 1   1   0   0   1   0   0
      88642.0 | 0   1   0   0   1   0   0
      88724.0 | 1   1   0   0   1   0   0
      88800.0 | 1   0   0   0   1   0   0
      88806.0 | 0   0   0   0   1   0   0
      88888.0 | 1   0   0   0   1   0   0
      88970.0 | 0   0   0   0   1   0   0
      89052.0 | 1   0   0   0   1   0   0
      89134.0 | 0   0   0   0   1   0   0
      89216.0 | 1   0   0   0   1   0   0
      89298.0 | 0   0   0   0   1   0   0
      89380.0 | 1   0   0   0   1   0   0
      89462.0 | 0   0   0   0   1   0   0
      89544.0 | 1   0   0   0   1   0   0
      89600.0 | 1   1   0   0   1   0   0
      89626.0 | 0   1   0   0   1   0   0
      89708.0 | 1   1   0   0   1   0   0
      89790.0 | 0   1   0   0   1   0   0
      89872.0 | 1   1   0   0   1   0   0
      89954.0 | 0   1   0   0   1   0   0
      90036.0 | 1   1   0   0   1   0   0
      90118.0 | 0   1   0   0   1   0   0
