================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   v   r   c   t   s   r 
 in 1e-09 sec | l   g   s   n   i   t   e 
              | k   a   t   t   m   a   a 
              |     _       _   e   r   d 
              |     c       r       t   y 
              |     l       s             
              |     k       t             
================================================================================
      10004.0 | 1   1   0   0   1   0   0
      10086.0 | 0   1   0   0   1   0   0
      10168.0 | 1   1   0   0   1   0   0
      10250.0 | 0   1   0   0   1   0   0
      10332.0 | 1   1   0   0   1   0   0
      10400.0 | 1   0   0   0   1   0   0
      10414.0 | 0   0   0   0   1   0   0
      10496.0 | 1   0   0   0   1   0   0
      10578.0 | 0   0   0   0   1   0   0
      10660.0 | 1   0   0   0   1   0   0
      10742.0 | 0   0   0   0   1   0   0
      10824.0 | 1   0   0   0   1   0   0
      10906.0 | 0   0   0   0   1   0   0
      10988.0 | 1   0   0   0   1   0   0
      11070.0 | 0   0   0   0   1   0   0
      11152.0 | 1   0   0   0   1   0   0
      11200.0 | 1   1   0   0   1   0   0
      11234.0 | 0   1   0   0   1   0   0
      11316.0 | 1   1   0   0   1   0   0
      11398.0 | 0   1   0   0   1   0   0
      11480.0 | 1   1   0   0   1   0   0
      11562.0 | 0   1   0   0   1   0   0
      11644.0 | 1   1   0   0   1   0   0
      11726.0 | 0   1   0   0   1   0   0
      11808.0 | 1   1   0   0   1   0   0
      11890.0 | 0   1   0   0   1   0   0
      11972.0 | 1   1   0   0   1   0   0
      12000.0 | 1   0   0   0   1   0   0
      12054.0 | 0   0   0   0   1   0   0
      12136.0 | 1   0   0   0   1   0   0
      12218.0 | 0   0   0   0   1   0   0
      12300.0 | 1   0   0   0   1   0   0
      12382.0 | 0   0   0   0   1   0   0
      12464.0 | 1   0   0   0   1   0   0
      12546.0 | 0   0   0   0   1   0   0
      12628.0 | 1   0   0   0   1   0   0
      12710.0 | 0   0   0   0   1   0   0
      12792.0 | 1   0   0   0   1   0   0
      12800.0 | 1   1   0   0   1   0   0
      12874.0 | 0   1   0   0   1   0   0
      12956.0 | 1   1   0   0   1   0   0
      13038.0 | 0   1   0   0   1   0   0
      13120.0 | 1   1   0   0   1   0   0
      13202.0 | 0   1   0   0   1   0   0
      13284.0 | 1   1   0   0   1   0   0
      13366.0 | 0   1   0   0   1   0   0
