====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       1807.2 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   1   0   1   1   1   1   1   0   1   1   1   1   1
       1886.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   0   1   0   1   1   1   1   1   0   1   1   1   1   1
       1968.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   1   0   1   1   1   1   1   0   1   1   1   1   1
       1969.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   0   x   0   1   1   1   1   1   0   1   1   1   1   1
       1969.5 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   1   1   1   1   1   0   1   1   1   1   1
       1970.5 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       2050.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       2091.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       2132.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       2134.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   1   0   0   1   1   1   0   1   1   1   1   1
       2134.6 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2214.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2296.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2378.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2460.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2542.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   0   0   1   1   1   0   1   1   1   1   1
       2583.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   0   1   1   1   0   1   1   1   1   1
       2624.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   1   1   0   1   1   1   0   1   1   1   1   1
       2625.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   0   1   1   1   0   1   1   1   1   1
       2627.2 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       2706.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       2788.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   0   0   1   1   1   1   1   0   1   1   1   1   1
       2789.6 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   1   1   1   1   1   0   1   1   1   1   1
       2790.5 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   1   0   1   1   1   0   1   1   1   1   1
       2870.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   1   0   1   1   1   0   1   1   1   1   1
       2911.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   0   0   1   1   1   0   1   1   1   1   1
       2952.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   x   0   0   0   1   1   1   0   1   1   1   1   1
       2954.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   x   1   0   0   1   1   1   0   1   1   1   1   1
       2954.6 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3034.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3116.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3198.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3280.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3362.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   0   0   1   1   1   0   1   1   1   1   1
       3403.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1
       3444.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1
       3445.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   0   1   1   1   0   1   1   1   1   1
       3447.2 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       3526.0 | 0   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       3608.0 | 1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   0   1   1   1   1   1   0   1   1   1   1   1
       3609.1 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   1   0   1   1   1   1   1   0   1   1   1   1   1
       3609.4 | 1   0   1   1   1   0   1   1   1   1   1   0   1   x   x   0   1   1   1   1   1   0   1   1   1   1   1
       3609.8 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   1   1   1   1   0   1   1   1   1   1
       3609.9 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       3690.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   1   0   1   1   1   0   1   1   1   1   1
       3731.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       3772.0 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       3854.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       3936.0 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4018.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4100.0 | 1   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
