====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   r   s   m   m   l   l   w   a   a   a   a   a   a   a   a   d 
 in 1e-09 sec | l   s   a   a   a   a   a   a   a   a   r   e   t   a   a   u   u   r   d   d   d   d   d   d   d   d   a 
              | k   t   s   s   s   s   s   s   s   s   a   a   a   s   s   t   t   i   d   d   d   d   d   d   d   d   t 
              |         k   k   k   k   k   k   k   k   w   d   r   k   k   _   _   t   r   r   r   r   r   r   r   r   a 
              |         _   _   _   _   _   _   _   _   _   y   t   _   _   s   r   e   _   _   _   _   _   _   _   _     
              |         7   7   7   7   7   7   7   7   e           s   s   t   e       7   7   7   7   7   7   7   7     
              |         _   _   _   _   _   _   _   _   r           e   e   a   a       _   _   _   _   _   _   _   _     
              |         0   0   0   0   0   0   0   0   a           l   l   r   d       0   0   0   0   0   0   0   0     
              |         _   _   _   _   _   _   _   _   s           e   e   t   y       _   _   _   _   _   _   _   _     
              |         7   6   5   4   3   2   1   0   e           c   c               7   6   5   4   3   2   1   0     
              |                                                     t   t                                                 
              |                                                     _   _                                                 
              |                                                     1   1                                                 
              |                                                     _   _                                                 
              |                                                     0   0                                                 
              |                                                     _   _                                                 
              |                                                     1   0                                                 
====================================================================================================================================
       4182.0 | 0   0   1   1   1   0   1   1   1   1   1   1   1   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4223.0 | 0   0   1   1   1   0   1   1   1   1   1   1   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4264.0 | 1   0   1   1   1   0   1   1   1   1   1   1   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4265.7 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4346.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4428.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4510.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4592.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4674.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4756.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4838.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       4920.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5002.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5084.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5166.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5248.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5330.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5412.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5494.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5576.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5658.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5740.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5822.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5904.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       5986.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6068.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6150.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6232.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6314.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6396.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6478.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6560.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6642.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6724.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6806.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6888.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       6970.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7052.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7134.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7216.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7298.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7380.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7462.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7544.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7626.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7708.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7790.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7872.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       7954.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8036.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8118.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8200.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8282.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8364.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8446.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8528.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8610.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8692.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8774.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8856.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       8938.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9020.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9102.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9184.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9266.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9348.0 | 1   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
       9430.0 | 0   0   1   1   1   0   1   1   1   1   1   0   0   x   x   0   0   0   1   1   1   0   1   1   1   1   1
