================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   s   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   c   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   o   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   r   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   e   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   _   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   o   d   d   d   d   d   d   d   d       t   t 
              |         n   u   u   r   r   r   r   r   r   r   r       a   a 
              |             t   t   _   _   _   _   _   _   _   _       _   _ 
              |                     o   o   o   o   o   o   o   o       i   o 
              |                     u   u   u   u   u   u   u   u       n   u 
              |                     t   t   t   t   t   t   t   t           t 
              |                     _   _   _   _   _   _   _   _             
       2954.9 | 1   0   0   0   0   0   1   1   1   1   1   1   1   1   1   0
       2955.9 | 1   0   0   0   0   0   1   1   0   0   1   1   1   1   1   0
       2956.0 | 1   0   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       3034.0 | 0   0   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       3116.0 | 1   0   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       3117.4 | 1   0   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       3118.0 | 1   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       3198.0 | 0   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       3280.0 | 1   0   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       3285.0 | 1   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0
       3362.0 | 0   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0
       3444.0 | 1   0   0   0   0   0   1   1   1   1   1   1   0   0   1   0
       3446.9 | 1   0   0   0   0   0   1   1   1   1   1   1   0   1   1   0
       3447.9 | 1   0   0   0   0   0   1   1   0   0   1   1   0   1   1   0
       3448.0 | 1   0   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       3526.0 | 0   0   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       3608.0 | 1   0   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       3609.6 | 1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       3609.9 | 1   0   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       3610.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       3690.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       3772.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       3777.0 | 1   0   0   0   0   0   1   1   1   1   1   0   1   0   1   0
       3854.0 | 0   0   0   0   0   0   1   1   1   1   1   0   1   0   1   0
       3936.0 | 1   0   0   0   0   0   1   1   1   1   1   0   1   0   1   0
       3938.9 | 1   0   0   0   0   0   1   1   1   1   1   0   1   1   1   0
       3939.9 | 1   0   0   0   0   0   1   1   0   0   1   0   1   1   1   0
       3940.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       4018.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       4100.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       4101.4 | 1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       4102.0 | 1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       4182.0 | 0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       4264.0 | 1   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       4269.0 | 1   0   0   0   0   0   1   1   1   1   1   0   0   0   1   0
       4346.0 | 0   0   0   0   0   0   1   1   1   1   1   0   0   0   1   0
       4428.0 | 1   0   0   0   0   0   1   1   1   1   1   0   0   0   1   0
       4430.9 | 1   0   0   0   0   0   1   1   1   1   1   0   0   1   1   0
       4431.9 | 1   0   0   0   0   0   1   1   0   0   1   0   0   1   1   0
       4432.0 | 1   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0
