================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
     384160.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     384162.2 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     384240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     384320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     384400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     384480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     384560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     384640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     384720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     384800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     384880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     384960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     385840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     385920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     386880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     386960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     387840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     387920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     388880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     388960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     389840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     389920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     390880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     390960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     391840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     391920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     392880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     392960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     393840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     393920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     394880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     394960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     395840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     395920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     396880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     396960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     397840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     397920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     398880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     398960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     399840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     399920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     400880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     400960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     401840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     401920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     402880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     402960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     403840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     403920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     404880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     404960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     405840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     405920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     406880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     406960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     407840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     407920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     408880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     408960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409040.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409120.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409200.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409280.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409360.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409440.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409520.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409600.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409680.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409760.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     409840.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     409920.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410000.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410080.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410160.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410240.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410320.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410400.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410480.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410560.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410640.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410720.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410800.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     410880.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     410960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     411840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     411920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     412000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     412080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     412160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     412240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
     412320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
     412322.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     412400.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     412480.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     412560.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     412640.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     412720.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     412800.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     412880.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     412960.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413040.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413120.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413200.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413280.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413360.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413440.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413520.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413600.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413680.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413760.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     413840.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
     413920.0 | 0   1   1   0   1   1   1   1   0   1   1   0   0   0
     414000.0 | 0   0   1   0   1   1   1   1   0   1   0   0   0   0
