====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   d   d   d   w   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
 in 1e-09 sec | l   s   i   o   o   e   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              | k   t       1   2       d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d 
              |                         r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
      11600.0 | 0   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11680.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11760.0 | 0   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11840.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11840.9 | 1   0   0   1   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      11920.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      12000.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      12080.0 | 0   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      12160.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      12240.0 | 0   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      12320.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      12320.8 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      12400.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      12480.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      12560.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      12640.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      12720.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      12800.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      12800.8 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      12880.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      12960.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13040.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13120.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13200.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13280.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13280.9 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13360.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13440.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13440.8 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13520.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13600.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13680.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13760.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13760.9 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13840.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      13920.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14000.0 | 0   1   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14000.6 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14080.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14160.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14240.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      14300.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14320.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14400.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14460.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14480.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14560.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      14620.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14640.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14720.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14780.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14800.0 | 0   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14880.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      14940.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      14960.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15040.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15040.9 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15100.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15120.0 | 0   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15200.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15260.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15280.0 | 0   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15360.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15360.9 | 1   0   0   1   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15420.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      15440.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      15520.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      15580.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      15600.0 | 0   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      15680.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      15740.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15760.0 | 0   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15840.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15840.8 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      15900.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      15920.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      16000.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      16060.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      16080.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      16160.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      16220.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      16240.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      16320.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      16320.8 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      16380.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16400.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16480.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16540.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16560.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16640.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16700.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16720.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16800.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16800.9 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16860.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16880.0 | 0   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16960.0 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      16960.8 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17020.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17040.0 | 0   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17120.0 | 1   0   1   0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17180.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17200.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17280.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17280.9 | 1   0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17340.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17360.0 | 0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17440.0 | 1   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17500.0 | 1   1   0   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17500.6 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17520.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17600.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17680.0 | 0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17760.0 | 1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      17800.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      17840.0 | 0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      17920.0 | 1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      17960.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      18000.0 | 0   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      18080.0 | 1   0   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      18120.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18160.0 | 0   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18240.0 | 1   0   0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18280.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18320.0 | 0   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18400.0 | 1   0   1   0   0   1   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      18440.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18480.0 | 0   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18560.0 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18560.9 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18600.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18640.0 | 0   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18720.0 | 1   0   1   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18760.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18800.0 | 0   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18880.0 | 1   0   0   0   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18880.9 | 1   0   0   1   1   1   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      18920.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      18960.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      19040.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   1   0
      19080.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      19120.0 | 0   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      19200.0 | 1   0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0   0   1   0   1   0
      19240.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19280.0 | 0   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19360.0 | 1   0   0   1   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19360.8 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19400.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      19440.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      19520.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   0   0   1   0
      19560.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19600.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19680.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   0   0   1   0   1   0
      19720.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      19760.0 | 0   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      19840.0 | 1   0   0   0   1   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      19840.8 | 1   0   0   0   0   0   0   0   1   0   1   0   1   0   0   0   1   0   1   0   1   0
      19880.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      19920.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
      19999.9 | 0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   1   0   1   0
====================================================================================================================================
  network : Sr_if                                                                                                     nodes : 6490  
====================================================================================================================================
