================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   b   n   o   o   o 
 in 1e-09 sec | l   s   u   e   u   u   u 
              | k   t   t   w   t   t   t 
              |         t   _   p   p   p 
              |         o   n   u   u   u 
              |         n   u   t   t   t 
              |         _   m   _   _   _ 
              |         s   b   2   2   2 
              |         e   e   _   _   _ 
              |         e   r   0   0   0 
              |         d       _   _   _ 
              |                 2   1   0 
================================================================================
       7134.0 | 0   0   0   0   0   1   0
       7216.0 | 1   0   0   0   0   1   0
       7217.0 | 1   0   0   0   0   0   0
       7217.1 | 1   0   0   0   0   0   1
       7298.0 | 0   0   0   0   0   0   1
       7380.0 | 1   0   0   0   0   0   1
       7380.8 | 1   0   0   0   0   0   0
       7462.0 | 0   0   0   0   0   0   0
       7544.0 | 1   0   0   0   0   0   0
       7545.1 | 1   0   0   0   1   0   0
       7626.0 | 0   0   0   0   1   0   0
       7708.0 | 1   0   0   0   1   0   0
       7709.4 | 1   0   0   0   1   1   0
       7790.0 | 0   0   0   0   1   1   0
       7872.0 | 1   0   0   0   1   1   0
       7872.8 | 1   0   0   0   0   1   0
       7873.1 | 1   0   0   0   0   1   1
       7954.0 | 0   0   0   0   0   1   1
       8036.0 | 1   0   0   0   0   1   1
       8037.0 | 1   0   0   0   0   0   1
       8037.1 | 1   0   0   0   1   0   1
       8118.0 | 0   0   0   0   1   0   1
       8200.0 | 1   0   0   0   1   0   1
       8200.8 | 1   0   0   0   0   0   0
       8201.4 | 1   0   0   0   0   1   0
       8282.0 | 0   0   0   0   0   1   0
       8364.0 | 1   0   0   0   0   1   0
       8365.0 | 1   0   0   0   0   0   0
       8365.1 | 1   0   0   0   0   0   1
       8446.0 | 0   0   0   0   0   0   1
       8528.0 | 1   0   0   0   0   0   1
       8528.8 | 1   0   0   0   0   0   0
       8610.0 | 0   0   0   0   0   0   0
       8692.0 | 1   0   0   0   0   0   0
       8693.1 | 1   0   0   0   1   0   0
       8774.0 | 0   0   0   0   1   0   0
       8856.0 | 1   0   0   0   1   0   0
       8857.4 | 1   0   0   0   1   1   0
       8938.0 | 0   0   0   0   1   1   0
       9020.0 | 1   0   0   0   1   1   0
       9020.8 | 1   0   0   0   0   1   0
       9021.1 | 1   0   0   0   0   1   1
       9102.0 | 0   0   0   0   0   1   1
       9184.0 | 1   0   0   0   0   1   1
       9185.0 | 1   0   0   0   0   0   1
       9185.1 | 1   0   0   0   1   0   1
       9266.0 | 0   0   0   0   1   0   1
       9348.0 | 1   0   0   0   1   0   1
       9348.8 | 1   0   0   0   0   0   0
       9349.4 | 1   0   0   0   0   1   0
       9430.0 | 0   0   0   0   0   1   0
       9512.0 | 1   0   0   0   0   1   0
       9513.0 | 1   0   0   0   0   0   0
       9513.1 | 1   0   0   0   0   0   1
       9594.0 | 0   0   0   0   0   0   1
       9676.0 | 1   0   0   0   0   0   1
       9676.8 | 1   0   0   0   0   0   0
       9758.0 | 0   0   0   0   0   0   0
       9840.0 | 1   0   0   0   0   0   0
       9841.1 | 1   0   0   0   1   0   0
       9922.0 | 0   0   0   0   1   0   0
      10004.0 | 1   0   0   0   1   0   0
      10005.4 | 1   0   0   0   1   1   0
