====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   a   a   a   a   a   a   a   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   d   d   d   d   d   d   d   d   d   d   d   d   d   d   d       t   t 
              |         n   u   r   r   r   r   r   r   r   r   r   r   r   r   r   r   r       a   a 
              |             t   _   _   _   _   _   _   _   _   _   _   _   _   _   _   _       _   _ 
              |                 i   i   i   i   i   i   i   o   o   o   o   o   o   o   o       i   o 
              |                 n   n   n   n   n   n   n   u   u   u   u   u   u   u   u       n   u 
              |                 _   _   _   _   _   _   _   t   t   t   t   t   t   t   t           t 
       6150.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0
       6232.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       6234.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       6235.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   1   1
       6235.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   1   1
       6314.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   1   1
       6396.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   0   1
       6396.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   1   0   0
       6397.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0
       6397.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0
       6397.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       6398.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       6478.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       6560.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       6561.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       6561.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   0   0   0
       6564.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   0   0
       6642.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   0   0
       6724.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
       6726.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   1   0
       6727.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   1   1
       6727.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   1   1   1
       6806.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   1   1   1
       6888.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   1   0   1
       6888.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   1   1   0   0
       6889.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   0   0
       6889.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       6970.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7052.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7053.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7053.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0   0   0
       7056.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0
       7134.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0
       7216.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
       7218.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   1   0
       7219.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   1   1
       7219.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   1   1
       7298.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   1   1
       7380.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   0   1
       7380.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   1   0   0
       7381.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0
       7381.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0
       7381.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7462.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7544.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7545.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7545.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0
       7548.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0
       7626.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0
       7708.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
       7710.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0
       7711.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   1
       7711.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   1   1
       7790.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   1   1
       7872.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   1
       7872.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0
       7873.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0
       7873.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       7954.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       8036.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       8037.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       8037.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0
       8040.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       8118.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
       8200.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
       8202.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0
       8203.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   1
       8203.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   1   1
       8282.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   1   1
       8364.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   1
       8364.2 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0
       8365.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   0   0
       8365.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   0   0
       8366.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
       8446.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   0   0
       8528.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   1   0
       8529.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   1   0
       8529.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   0   1   0
       8533.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       8610.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   1   0
       8692.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
       8694.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
       8695.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0   0
       8774.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   0   0
       8856.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   0
       8857.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       8857.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       8938.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       9020.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       9021.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       9021.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   1   0
       9025.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   0   0   1   0
       9102.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   0   0   1   0
       9184.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   0   0   0   0
       9186.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   0   1   0   0
       9187.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   0   0
       9266.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   0   0
       9348.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   1   1   0
       9349.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       9349.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       9349.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       9430.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       9512.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       9513.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       9513.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   0   1   0
       9517.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   1   0   1   0
       9594.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   1   0   1   0
       9676.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   1   0   0   0
       9678.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   1   1   0   0
       9679.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   0   0
       9758.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   0   0
       9840.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   1   0
       9841.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   1   0
       9841.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
       9922.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
      10004.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
      10005.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
      10005.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0
      10009.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   0   0   1   0
      10086.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   0   0   1   0
      10168.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   0   0   0   0
      10170.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   0   0   1   0   0
      10171.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   0   0
      10250.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   0   0
      10332.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   1   1   0
      10333.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0
      10333.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0
      10333.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      10334.1 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
      10414.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
      10496.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
      10497.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
      10497.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0   1   0
      10501.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   1   0   1   0
      10578.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   1   0   1   0
      10660.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   1   0   0   0
      10662.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   1   1   0   0
      10663.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   0   0
      10742.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   0   0
      10824.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   1   1   0
      10825.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   1   0
      10825.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
      10906.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
      10988.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
      10989.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
      10989.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0   1   0
      10993.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   0   0   1   0
      11070.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   0   0   1   0
      11152.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   0   0   0   0
      11154.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   1   0   1   0   0
      11155.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   0   0
      11234.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   0   0
      11316.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   1   0   1   1   0
      11317.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0
      11317.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0
      11317.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      11398.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      11480.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      11481.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      11481.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   1   0
      11485.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   1   0   1   0
      11562.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   1   0   1   0
      11644.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   1   0   0   0
      11646.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   1   1   0   0
      11647.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0
      11726.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0
      11808.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0
      11809.3 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0
      11809.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      11890.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      11972.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      11973.7 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      11973.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0
      11977.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   0   0   1   0
      12054.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   0   0   1   0
      12136.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   0   0   0   0
      12138.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   0   0   0   1   0   0
      12139.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0
      12218.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0
      12300.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   1   1   0
      12301.7 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   1   0   1   1   1   0
      12301.9 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   1   0   1   0   1   0   1   0
      12302.1 | 1   0   0   0   0   0   1   1   0   0   0   0   1   0   1   0   1   1   1   0   1   0
      12302.2 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   0   1   1   1   0   1   0
      12302.5 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   1   0
      12382.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   1   0
      12464.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      12465.7 | 1   0   0   1   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      12546.0 | 0   0   0   1   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      12628.0 | 1   0   0   1   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      12629.5 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   0   0   0
      12630.8 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      12710.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      12792.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      12874.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      12956.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13038.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13120.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13202.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13284.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13366.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13448.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13530.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13612.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13694.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13776.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13858.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      13940.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14022.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14104.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14186.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14268.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14350.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14432.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14514.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14596.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14678.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14760.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14842.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      14924.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15006.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15088.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15170.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15252.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15334.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15416.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15498.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15580.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15662.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15744.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15826.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15908.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      15990.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16072.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16154.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16236.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16318.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16400.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16482.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16564.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16646.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16728.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16810.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16892.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      16974.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17056.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17138.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17220.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17302.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17384.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17466.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17548.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17630.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17712.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17794.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17876.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
      17958.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   1   1   1   1   1   1   1   0   0
