================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | a   a   a   a   a   a   a   d   d   d   d 
 in 1e-09 sec | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
       3400.0 | 0   1   0   0   0   1   0   0   1   0   0
       3402.3 | 0   1   0   0   0   1   0   0   1   0   1
       3500.0 | 0   1   0   0   0   1   1   0   1   0   1
       3502.1 | 0   1   0   0   0   1   1   0   1   1   1
       3503.6 | 0   1   0   0   0   1   1   0   1   1   0
       3600.0 | 0   1   0   0   1   0   0   0   1   1   0
       3602.4 | 0   1   0   0   1   0   0   0   1   0   0
       3602.6 | 0   1   0   0   1   0   0   0   0   0   0
       3700.0 | 0   1   0   0   1   0   1   0   0   0   0
       3702.2 | 0   1   0   0   1   0   1   0   1   0   0
       3800.0 | 0   1   0   0   1   1   0   0   1   0   0
       3802.5 | 0   1   0   0   1   1   0   0   1   0   1
       3900.0 | 0   1   0   0   1   1   1   0   1   0   1
       3902.4 | 0   1   0   0   1   1   1   1   1   0   1
       3903.5 | 0   1   0   0   1   1   1   1   1   0   0
       3903.8 | 0   1   0   0   1   1   1   1   0   0   0
       4000.0 | 0   1   0   1   0   0   0   1   0   0   0
       4001.4 | 0   1   0   1   0   0   0   1   1   0   0
       4002.3 | 0   1   0   1   0   0   0   0   1   0   0
       4003.3 | 0   1   0   1   0   0   0   0   0   0   0
       4100.0 | 0   1   0   1   0   0   1   0   0   0   0
       4102.3 | 0   1   0   1   0   0   1   0   0   0   1
       4200.0 | 0   1   0   1   0   1   0   0   0   0   1
       4202.0 | 0   1   0   1   0   1   0   0   0   1   1
       4203.4 | 0   1   0   1   0   1   0   0   0   1   0
       4300.0 | 0   1   0   1   0   1   1   0   0   1   0
       4302.1 | 0   1   0   1   0   1   1   0   1   1   0
       4302.3 | 0   1   0   1   0   1   1   0   1   1   1
       4303.5 | 0   1   0   1   0   1   1   0   1   0   1
       4400.0 | 0   1   0   1   1   0   0   0   1   0   1
       4403.3 | 0   1   0   1   1   0   0   0   0   0   1
       4500.0 | 0   1   0   1   1   0   1   0   0   0   1
       4502.1 | 0   1   0   1   1   0   1   0   1   0   1
       4600.0 | 0   1   0   1   1   1   0   0   1   0   1
       4602.4 | 0   1   0   1   1   1   0   1   1   0   1
       4603.5 | 0   1   0   1   1   1   0   1   0   0   1
       4700.0 | 0   1   0   1   1   1   1   1   0   0   1
       4702.1 | 0   1   0   1   1   1   1   1   1   0   1
       4703.5 | 0   1   0   1   1   1   1   0   1   0   1
       4703.7 | 0   1   0   1   1   1   1   0   1   0   0
       4800.0 | 0   1   1   0   0   0   0   0   1   0   0
       4801.8 | 0   1   1   0   0   0   0   0   1   1   0
       4802.7 | 0   1   1   0   0   0   0   0   1   0   0
       4900.0 | 0   1   1   0   0   0   1   0   1   0   0
       4902.3 | 0   1   1   0   0   0   1   0   1   0   1
       5000.0 | 0   1   1   0   0   1   0   0   1   0   1
       5002.1 | 0   1   1   0   0   1   0   0   1   1   1
       5003.2 | 0   1   1   0   0   1   0   0   1   1   0
       5100.0 | 0   1   1   0   0   1   1   0   1   1   0
       5103.7 | 0   1   1   0   0   1   1   0   0   1   0
       5200.0 | 0   1   1   0   1   0   0   0   0   1   0
       5201.6 | 0   1   1   0   1   0   0   1   0   1   0
       5202.4 | 0   1   1   0   1   0   0   1   0   0   0
       5203.1 | 0   1   1   0   1   0   0   0   0   0   0
       5300.0 | 0   1   1   0   1   0   1   0   0   0   0
       5302.3 | 0   1   1   0   1   0   1   0   1   0   0
       5400.0 | 0   1   1   0   1   1   0   0   1   0   0
       5402.5 | 0   1   1   0   1   1   0   1   1   0   0
       5403.2 | 0   1   1   0   1   1   0   1   0   0   0
       5500.0 | 0   1   1   0   1   1   1   1   0   0   0
       5502.4 | 0   1   1   0   1   1   1   1   0   0   1
       5600.0 | 0   1   1   1   0   0   0   1   0   0   1
       5602.1 | 0   1   1   1   0   0   0   1   1   0   1
       5602.7 | 0   1   1   1   0   0   0   1   1   0   0
       5603.2 | 0   1   1   1   0   0   0   0   1   0   0
       5700.0 | 0   1   1   1   0   0   1   0   1   0   0
       5702.3 | 0   1   1   1   0   0   1   0   1   0   1
       5800.0 | 0   1   1   1   0   1   0   0   1   0   1
       5802.1 | 0   1   1   1   0   1   0   0   1   1   1
       5803.2 | 0   1   1   1   0   1   0   0   1   1   0
       5900.0 | 0   1   1   1   0   1   1   0   1   1   0
       5902.3 | 0   1   1   1   0   1   1   1   1   1   0
       5903.6 | 0   1   1   1   0   1   1   1   1   0   0
       5903.7 | 0   1   1   1   0   1   1   1   0   0   0
       6000.0 | 0   1   1   1   1   0   0   1   0   0   0
       6002.3 | 0   1   1   1   1   0   0   1   0   0   1
       6100.0 | 0   1   1   1   1   0   1   1   0   0   1
       6102.3 | 0   1   1   1   1   0   1   1   1   0   1
       6103.4 | 0   1   1   1   1   0   1   0   1   0   1
       6200.0 | 0   1   1   1   1   1   0   0   1   0   1
       6203.2 | 0   1   1   1   1   1   0   0   0   0   1
       6300.0 | 0   1   1   1   1   1   1   0   0   0   1
       6303.7 | 0   1   1   1   1   1   1   0   0   0   0
       6400.0 | 1   0   0   0   0   0   0   0   0   0   0
       6401.5 | 1   0   0   0   0   0   0   0   1   0   0
       6403.2 | 1   0   0   0   0   0   0   0   0   0   0
       6500.0 | 1   0   0   0   0   0   1   0   0   0   0
       6501.9 | 1   0   0   0   0   0   1   0   1   0   0
       6600.0 | 1   0   0   0   0   1   0   0   1   0   0
       6602.3 | 1   0   0   0   0   1   0   0   1   0   1
       6700.0 | 1   0   0   0   0   1   1   0   1   0   1
       6701.9 | 1   0   0   0   0   1   1   0   1   1   1
       6703.2 | 1   0   0   0   0   1   1   0   1   1   0
       6800.0 | 1   0   0   0   1   0   0   0   1   1   0
       6801.5 | 1   0   0   0   1   0   0   1   1   1   0
       6802.2 | 1   0   0   0   1   0   0   1   1   0   0
       6802.3 | 1   0   0   0   1   0   0   1   0   0   0
       6802.4 | 1   0   0   0   1   0   0   0   0   0   0
       6900.0 | 1   0   0   0   1   0   1   0   0   0   0
       6902.2 | 1   0   0   0   1   0   1   0   0   0   1
       7000.0 | 1   0   0   0   1   1   0   0   0   0   1
       7002.1 | 1   0   0   0   1   1   0   0   1   0   1
       7003.3 | 1   0   0   0   1   1   0   0   1   0   0
       7100.0 | 1   0   0   0   1   1   1   0   1   0   0
       7102.2 | 1   0   0   0   1   1   1   1   1   0   0
       7103.3 | 1   0   0   0   1   1   1   1   0   0   0
       7200.0 | 1   0   0   1   0   0   0   1   0   0   0
       7201.2 | 1   0   0   1   0   0   0   1   0   1   0
       7201.3 | 1   0   0   1   0   0   0   1   1   1   0
       7202.1 | 1   0   0   1   0   0   0   0   1   1   0
       7203.2 | 1   0   0   1   0   0   0   0   0   1   0
       7203.3 | 1   0   0   1   0   0   0   0   0   0   0
       7300.0 | 1   0   0   1   0   0   1   0   0   0   0
