================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
       3843.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       3844.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       4000.0 | 0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       4160.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       4162.2 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4320.0 | 0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4480.0 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4483.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       4484.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       4484.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       4484.7 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4640.0 | 0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4800.0 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4803.4 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       4804.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       4804.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       4804.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       4960.0 | 0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       5120.0 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
       5121.6 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       5121.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       5122.1 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5280.0 | 0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5440.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5444.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       5444.7 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5600.0 | 0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5760.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5764.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       5764.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       5920.0 | 0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       6080.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       6082.2 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6240.0 | 0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6400.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6404.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       6404.7 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6560.0 | 0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6720.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6724.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       6724.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       6880.0 | 0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       7040.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       7042.1 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7200.0 | 0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7360.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7363.2 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       7364.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       7364.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       7364.7 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7520.0 | 0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7680.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7683.4 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
       7684.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       7684.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       7684.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       7840.0 | 0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       8000.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
       8002.2 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8160.0 | 0   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8320.0 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8323.2 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       8324.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       8324.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       8324.7 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8480.0 | 0   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8640.0 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8643.4 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
       8644.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       8644.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
       8644.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8800.0 | 0   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8960.0 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
       8961.6 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       8962.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9120.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9280.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9280.8 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
       9284.2 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0
       9440.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0
       9600.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   1   0
       9600.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
       9602.9 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9760.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9920.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9922.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       9923.8 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
       9924.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
       9925.8 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
      10080.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
      10240.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
      10242.9 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10400.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10560.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10562.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      10563.8 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      10564.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      10565.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      10720.0 | 0   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      10880.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      10882.9 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      11040.0 | 0   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      11200.0 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      11202.2 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
      11203.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0
      11204.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0
      11204.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      11205.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      11205.8 | 1   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0
      11360.0 | 0   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0
      11520.0 | 1   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0
      11522.9 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
      11680.0 | 0   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
      11840.0 | 1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0
      11841.6 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11841.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      11842.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
      11843.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
      11844.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      11845.8 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
      12000.0 | 0   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
      12160.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
      12162.9 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
      12320.0 | 0   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
      12480.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0
      12482.2 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      12483.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
      12484.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      12485.8 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
      12640.0 | 0   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
      12800.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
      12802.9 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      12960.0 | 0   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      13120.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      13122.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
      13123.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   1   0   0
      13124.0 | 1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0
      13124.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      13125.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      13125.8 | 1   0   1   1   0   0   0   0   0   0   1   1   0   1   0   0
      13280.0 | 0   0   1   1   0   0   0   0   0   0   1   1   0   1   0   0
      13440.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   1   0   0
      13442.9 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
      13600.0 | 0   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
      13760.0 | 1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0
      13762.2 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
      13763.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   1   0   0
      13764.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   1   0   0
      13764.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      13765.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   1   0   0
      13765.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   1   0   0
      13920.0 | 0   0   1   1   0   0   0   0   0   0   1   1   1   1   0   0
      14080.0 | 1   0   1   1   0   0   0   0   0   0   1   1   1   1   0   0
      14083.8 | 1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0
      14086.0 | 1   0   1   1   0   0   0   0   0   0   1   0   1   0   0   0
      14086.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14240.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14400.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14402.4 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14560.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14720.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14724.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      14724.7 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      14880.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15040.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15044.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      15044.8 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15200.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15360.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      15362.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15520.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15680.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15684.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      15684.7 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      15840.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16000.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16004.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      16004.8 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16160.0 | 0   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16320.0 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      16322.1 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16480.0 | 0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16640.0 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16643.2 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16644.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      16644.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      16644.7 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16800.0 | 0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16960.0 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      16963.4 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      16964.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      16964.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      16964.8 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      17120.0 | 0   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      17280.0 | 1   0   1   1   0   0   0   0   0   1   0   1   0   0   0   0
      17282.2 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17440.0 | 0   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17600.0 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17603.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17604.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      17604.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      17604.7 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17760.0 | 0   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17920.0 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      17923.4 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      17924.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      17924.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      17924.8 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      18080.0 | 0   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      18240.0 | 1   0   1   1   0   0   0   0   0   1   0   1   1   0   0   0
      18241.6 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      18241.8 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      18242.1 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18400.0 | 0   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18560.0 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18564.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      18564.7 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18720.0 | 0   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18880.0 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      18884.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      18884.8 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      19040.0 | 0   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      19200.0 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      19202.2 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19360.0 | 0   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19520.0 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19524.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      19524.7 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19680.0 | 0   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19840.0 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      19844.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      19844.8 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      20000.0 | 0   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      20160.0 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      20162.1 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20320.0 | 0   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20480.0 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20483.2 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      20484.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      20484.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      20484.7 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20640.0 | 0   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20800.0 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20803.4 | 1   0   1   1   0   0   0   0   0   1   1   0   0   0   0   0
      20804.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      20804.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      20804.8 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      20960.0 | 0   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      21120.0 | 1   0   1   1   0   0   0   0   0   1   1   1   0   0   0   0
      21122.2 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21280.0 | 0   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21440.0 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21443.2 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      21444.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      21444.5 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      21444.7 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21600.0 | 0   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21760.0 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21763.4 | 1   0   1   1   0   0   0   0   0   1   1   0   1   0   0   0
      21764.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      21764.6 | 1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0
      21764.8 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      21920.0 | 0   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      22080.0 | 1   0   1   1   0   0   0   0   0   1   1   1   1   0   0   0
      22081.6 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      22082.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22240.0 | 0   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22400.0 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      22400.8 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   1   0
      22404.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22560.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22720.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
      22720.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      22880.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23040.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23044.3 | 1   0   1   1   0   0   0   0   0   0   0   0   0   1   0   0
      23045.0 | 1   0   1   1   1   0   0   0   0   0   0   0   0   1   0   0
      23045.5 | 1   0   1   1   1   0   0   0   0   1   0   0   0   1   0   0
      23200.0 | 0   0   1   1   1   0   0   0   0   1   0   0   0   1   0   0
      23360.0 | 1   0   1   1   1   0   0   0   0   1   0   0   0   1   0   0
      23363.3 | 1   0   1   1   0   0   0   0   0   1   0   0   0   1   0   0
      23364.4 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      23366.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23520.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23680.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23682.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      23684.4 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      23685.9 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      23840.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      24000.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
