================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
       8960.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       8962.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9120.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9280.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9280.8 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
       9440.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
       9600.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0
       9600.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9760.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9920.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9922.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
       9924.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
       9925.4 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10080.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10240.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10400.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10560.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      10562.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      10720.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      10880.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11040.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11200.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11202.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11204.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      11205.4 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11360.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11520.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11680.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11840.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      11842.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12000.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12160.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12320.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12480.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12482.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      12484.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      12485.4 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      12640.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      12800.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      12960.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      13120.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      13122.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13280.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13440.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13600.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13760.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13762.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      13764.7 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      13765.4 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      13920.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
