================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   o   o   o   o   o   o   o   o 
 in 1e-09 sec | l   s   n   n   n   n   u   u   u   u   u   u   u   u 
              | k   t   c   c   c   c   t   t   t   t   t   t   t   t 
              |         r   r   r   r   p   p   p   p   p   p   p   p 
              |         e   e   e   e   u   u   u   u   u   u   u   u 
              |         a   a   a   a   t   t   t   t   t   t   t   t 
              |         s   s   s   s   _   _   _   _   _   _   _   _ 
              |         e   e   e   e   7   7   7   7   7   7   7   7 
              |             _   _   _   _   _   _   _   _   _   _   _ 
              |             v   v   v   0   0   0   0   0   0   0   0 
              |             a   a   a   _   _   _   _   _   _   _   _ 
              |             l   l   l   7   6   5   4   3   2   1   0 
              |             u   u   u                                 
              |             e   e   e                                 
              |             _   _   _                                 
              |             2   2   2                                 
              |             _   _   _                                 
              |             0   0   0                                 
              |             _   _   _                                 
              |             2   1   0                                 
================================================================================
      76002.2 | 1   0   1   1   1   1   0   0   0   0   1   1   1   1
      77000.0 | 0   0   1   1   1   1   0   0   0   0   1   1   1   1
      78000.0 | 1   0   1   1   1   1   0   0   0   0   1   1   1   1
      79000.0 | 0   0   1   1   1   1   0   0   0   0   1   1   1   1
      80000.0 | 1   0   1   1   1   1   0   0   0   0   1   1   1   1
      80001.4 | 1   0   1   1   1   1   0   0   0   0   0   1   1   1
      80001.6 | 1   0   1   1   1   1   0   0   0   1   0   1   1   1
      80001.8 | 1   0   1   1   1   1   0   0   0   1   1   1   1   1
      81000.0 | 0   0   1   1   1   1   0   0   0   1   1   1   1   1
      82000.0 | 1   0   1   1   1   1   0   0   0   1   1   1   1   1
      83000.0 | 0   0   1   1   1   1   0   0   0   1   1   1   1   1
      84000.0 | 1   0   1   1   1   1   0   0   0   1   1   1   1   1
      84001.3 | 1   0   1   1   1   1   0   0   1   1   1   1   1   1
      85000.0 | 0   0   1   1   1   1   0   0   1   1   1   1   1   1
      86000.0 | 1   0   1   1   1   1   0   0   1   1   1   1   1   1
      87000.0 | 0   0   1   1   1   1   0   0   1   1   1   1   1   1
      88000.0 | 1   0   1   1   1   1   0   0   1   1   1   1   1   1
      89000.0 | 0   0   1   1   1   1   0   0   1   1   1   1   1   1
      90000.0 | 1   0   1   1   1   1   0   0   1   1   1   1   1   1
      91000.0 | 0   0   1   1   1   1   0   0   1   1   1   1   1   1
      92000.0 | 1   0   1   1   1   1   0   0   1   1   1   1   1   1
      92001.1 | 1   0   1   1   1   1   0   0   0   1   1   1   1   1
      92001.6 | 1   0   1   1   1   1   0   1   0   1   1   1   1   1
      92001.7 | 1   0   1   1   1   1   0   1   0   0   1   1   1   1
      92001.8 | 1   0   1   1   1   1   0   1   1   1   1   1   1   1
      93000.0 | 0   0   1   1   1   1   0   1   1   1   1   1   1   1
      94000.0 | 1   0   1   1   1   1   0   1   1   1   1   1   1   1
      95000.0 | 0   0   1   1   1   1   0   1   1   1   1   1   1   1
      96000.0 | 1   0   1   1   1   1   0   1   1   1   1   1   1   1
      97000.0 | 0   0   1   1   1   1   0   1   1   1   1   1   1   1
      98000.0 | 1   0   1   1   1   1   0   1   1   1   1   1   1   1
      99000.0 | 0   0   1   1   1   1   0   1   1   1   1   1   1   1
      99999.9 | 0   0   1   1   1   1   0   1   1   1   1   1   1   1
================================================================================
  network : Log_score                                              nodes : 277  
================================================================================
